brand,color,color_segment
AETHERA,CARBON,popular
AETHERA,PEARL,popular
AETHERA,COBALT,limited
NORTHRIDGE,SAND,popular
NORTHRIDGE,DUNE,popular
NORTHRIDGE,EMBER,limited
ORBITAL ONE,GLACIER,popular
ORBITAL ONE,GRAPHITE,popular
ORBITAL ONE,TEAL,unpopular
LUMENWORKS,MOSS,popular
LUMENWORKS,PEARL,popular
LUMENWORKS,CARBON,unpopular
TERRABYTE,COBALT,popular
TERRABYTE,GRAPHITE,popular
TERRABYTE,EMBER,unpopular
POLARIX,GLACIER,popular
POLARIX,TEAL,popular
POLARIX,SAND,unpopular
VERDANIA,MOSS,popular
VERDANIA,DUNE,popular
VERDANIA,CARBON,limited
CIRRUS LAB,PEARL,popular
CIRRUS LAB,EMBER,popular
CIRRUS LAB,COBALT,unpopular
